id,first_name,last_name,adress,DOB,sex,position,dptmo_name,project_name,dateWorked,hoursworked
1,Charlean,Spiring,6 Eliot Parkway,5/12/1990,F,Account Coordinator,Miscellaneous,Finance,1/9/2021,57
2,Karl,Stegel,2445 Meadow Vale Junction,1/17/1998,M,Food Chemist,Capital Goods,Health Care,3/3/2021,64
3,Egan,Hollingby,09841 Northwestern Avenue,7/2/1982,M,Geologist I,Finance,Finance,11/9/2020,31
4,Rudolfo,Olenov,716 Magdeline Hill,2/1/1982,M,Computer Systems Analyst I,Energy,n/a,10/13/2020,33
5,Florette,Varfolomeev,53003 Morning Way,10/28/1990,F,Executive Secretary,Finance,n/a,2/21/2021,67
6,Meggie,Montfort,8357 Monica Place,12/3/1985,F,Teacher,Health Care,Technology,2/17/2021,14
7,Angeline,Bartoszewicz,80838 Holmberg Hill,9/5/1991,F,Web Designer III,Consumer Services,Consumer Services,5/13/2020,12
8,Mahalia,Briand,374 School Parkway,12/29/1978,F,Pharmacist,Health Care,n/a,6/17/2020,25
9,Loise,Paladini,41 Utah Junction,1/30/2001,F,Administrative Officer,Public Utilities,n/a,7/19/2020,54
10,Hirsch,Janczak,57 Mcguire Plaza,8/17/1977,M,Professor,Technology,Finance,2/22/2021,12
11,Teressa,Doohan,5140 Northport Parkway,2/28/2003,F,Operator,Transportation,Energy,2/28/2021,61
12,Flemming,Cabrer,04 Orin Point,1/15/1976,M,Sales Associate,n/a,n/a,5/18/2020,49
13,Kiel,Peddar,3656 Gina Pass,12/14/2002,M,Human Resources Manager,Finance,Capital Goods,12/30/2020,60
14,Vanda,Cruikshank,38190 Superior Street,2/14/1980,F,Professor,Capital Goods,n/a,7/27/2020,64
15,Haze,Castleman,5213 Continental Court,8/4/1983,M,Social Worker,Basic Industries,Technology,5/4/2021,61
16,Harri,Gilderoy,64 Talmadge Plaza,8/27/1999,F,Automation Specialist II,Technology,Health Care,7/1/2020,19
17,Quinn,Sabbin,149 Londonderry Parkway,3/26/2002,F,Chemical Engineer,Miscellaneous,Consumer Services,5/5/2020,25
18,Tina,Edgeller,30674 Westridge Trail,11/16/1997,F,Engineer II,Consumer Services,Finance,9/17/2020,67
19,Concordia,Kyte,0561 Starling Court,12/30/1985,F,Professor,Health Care,n/a,9/13/2020,33
20,Milissent,Hulbert,8727 Dunning Point,7/26/1980,F,Software Engineer IV,n/a,Finance,2/20/2021,50
21,Robyn,McNelly,53915 Bultman Road,11/19/1987,F,Web Designer II,n/a,Basic Industries,2/18/2021,32
22,Kathryne,Seiler,56928 Swallow Crossing,10/28/1976,F,Environmental Tech,Health Care,n/a,1/19/2021,19
23,Cindy,Gordon,38 Graceland Parkway,4/16/1997,F,Recruiting Manager,Health Care,Health Care,12/16/2020,9
24,Elwood,Hawick,095 Buell Terrace,3/18/1994,M,VP Accounting,n/a,n/a,9/7/2020,70
25,Hazlett,Rothchild,7 Paget Point,10/7/1998,M,Statistician II,Finance,Technology,7/26/2020,37
26,Sonnie,Farlane,6269 Fordem Way,8/4/1993,F,Mechanical Systems Engineer,Public Utilities,n/a,4/25/2021,46
27,Adina,Griffitts,78452 Spohn Center,7/22/1983,F,Biostatistician III,Miscellaneous,Health Care,3/12/2021,6
28,Dane,Halladay,08318 Superior Drive,12/17/1980,M,VP Marketing,Basic Industries,n/a,10/19/2020,24
